From_POI,From_Type,From_Label,To_POI,To_Type,To_Label,Distance (m),Duration (s)
106481,Scultura,Grande bassorilievo,108187,Museo,Museo del Novecento,753.2,542.5
106481,Scultura,Grande bassorilievo,115154,Scultura,Monument to Giuseppe Parini,455.1,329.6
106481,Scultura,Grande bassorilievo,119513,Museo,Leonardo3 Museum,822.9,594.1
106481,Scultura,Grande bassorilievo,108242,Museo,Museo Mangini Bonomi,309.3,222.7
106481,Scultura,Grande bassorilievo,98652,Museo,Collections of the Ospedale Maggiore,1385.3,1001.7
106481,Scultura,Grande bassorilievo,109486,GalleriaDArte,Pinacoteca Ambrosiana,384.0,276.6
106481,Scultura,Grande bassorilievo,107078,Museo,Royal Palace of Milan,889.4,640.5
106481,Scultura,Grande bassorilievo,120148,Monumento,Monument to Cristina Trivulzio di Belgiojoso (Milan),1090.7,789.1
106481,Scultura,Grande bassorilievo,110593,Teatro,Teatro Gerolamo,1152.3,829.7
106481,Scultura,Grande bassorilievo,125115,Museo,Mario Buccellati corporate Museum,1361.8,988.5
106481,Scultura,Grande bassorilievo,104275,Scultura,Monument to Varalli and Zibecchi,1167.2,844.3
106481,Scultura,Grande bassorilievo,102611,Teatro,"Teatro ""La piccola Canobbiana""",904.9,651.7
106481,Scultura,Grande bassorilievo,123910,Scultura,Sala d'armi,1042.5,758.7
106481,Scultura,Grande bassorilievo,110823,Scultura,Monument to Cesare Beccaria,1165.9,839.6
106481,Scultura,Grande bassorilievo,117876,Teatro,Teatro Nuovo,1397.4,1005.4
106481,Scultura,Grande bassorilievo,123389,Museo,Museo Poldi Pezzoli,1013.8,738.2
106481,Scultura,Grande bassorilievo,114021,Teatro,Teatro Re,741.1,533.4
106481,Scultura,Grande bassorilievo,107439,Monumento,Monument to Federico Borromeo,286.8,206.4
106481,Scultura,Grande bassorilievo,113977,Monumento,Monument to Saint Ambrose,618.0,444.8
106481,Scultura,Grande bassorilievo,115460,Scultura,Scior Carera,1223.2,880.3
106481,Scultura,Grande bassorilievo,119536,Museo,Gallerie d'Italia - Milano,848.9,619.2
106481,Scultura,Grande bassorilievo,101859,Monumento,Monument to Giuseppe Missori,599.3,431.5
106481,Scultura,Grande bassorilievo,119864,Teatro,Teatro Filodrammatici,844.5,607.8
106481,Scultura,Grande bassorilievo,122600,Scultura,Disco in forma di rosa del deserto,973.1,708.8
106481,Scultura,Grande bassorilievo,107607,Museo,Duomo di Milano Museum,872.5,628.3
106481,Scultura,Grande bassorilievo,116866,Teatro,Teatro Manzoni,865.4,625.0
106481,Scultura,Grande bassorilievo,117761,Museo,San Fedele museum,918.0,662.7
106481,Scultura,Grande bassorilievo,118340,Teatro,Piccolo Teatro Grassi,613.0,441.2
106481,Scultura,Grande bassorilievo,112602,FermataDellaMetropolitana,Duomo,788.5,567.3
106481,Scultura,Grande bassorilievo,100111,FermataDellaMetropolitana,Missori,663.2,477.5
106481,Scultura,Grande bassorilievo,115437,FermataDellaMetropolitana,Cordusio,472.0,339.6
106481,Scultura,Grande bassorilievo,118236,FermataDellaMetropolitana,San Babila,1428.8,1028.1
108187,Museo,Museo del Novecento,115154,Scultura,Monument to Giuseppe Parini,443.4,319.7
108187,Museo,Museo del Novecento,119513,Museo,Leonardo3 Museum,519.3,373.7
108187,Museo,Museo del Novecento,108242,Museo,Museo Mangini Bonomi,508.0,366.1
108187,Museo,Museo del Novecento,98652,Museo,Collections of the Ospedale Maggiore,781.1,562.4
108187,Museo,Museo del Novecento,109486,GalleriaDArte,Pinacoteca Ambrosiana,422.6,304.5
108187,Museo,Museo del Novecento,107078,Museo,Royal Palace of Milan,172.7,124.4
108187,Museo,Museo del Novecento,120148,Monumento,Monument to Cristina Trivulzio di Belgiojoso (Milan),657.4,473.0
108187,Museo,Museo del Novecento,110593,Teatro,Teatro Gerolamo,450.0,324.0
108187,Museo,Museo del Novecento,125115,Museo,Mario Buccellati corporate Museum,985.6,709.5
108187,Museo,Museo del Novecento,104275,Scultura,Monument to Varalli and Zibecchi,532.3,383.3
108187,Museo,Museo del Novecento,102611,Teatro,"Teatro ""La piccola Canobbiana""",327.6,235.8
108187,Museo,Museo del Novecento,123910,Scultura,Sala d'armi,710.4,511.4
108187,Museo,Museo del Novecento,110823,Scultura,Monument to Cesare Beccaria,463.6,333.9
108187,Museo,Museo del Novecento,117876,Teatro,Teatro Nuovo,767.6,552.7
108187,Museo,Museo del Novecento,123389,Museo,Museo Poldi Pezzoli,677.3,487.5
108187,Museo,Museo del Novecento,114021,Teatro,Teatro Re,292.1,210.3
108187,Museo,Museo del Novecento,107439,Monumento,Monument to Federico Borromeo,533.7,384.5
