,Unnamed: 0,POI,TYPE,PLACE,WIKIDATA,LATITUDE,LONGITUDE,DISTANCE,wikidata_id,label
0,0,106481,Scultura,via-san-maurilio,Q56604977,45.46284,9.18291,0.5835240934818251,Q56604977,Grande bassorilievo
1,1,108187,Museo,via-guglielmo-marconi,Q261233,45.463414,9.190261,0.0944329244257512,Q261233,Museo del Novecento
2,2,115154,Scultura,piazza-cordusio,Q63633198,45.465456,9.186394,0.3192984941988077,Q63633198,Monument to Giuseppe Parini
3,3,119513,Museo,piazza-della-scala,Q55832575,45.467339185,9.189588078,0.3451714781868833,Q55832575,Leonardo3 Museum
4,4,108242,Museo,via-dell-ambrosiana,Q55376499,45.46343,9.185222,0.3924641003670348,Q55376499,Museo Mangini Bonomi
5,5,98652,Museo,universita-degli-studi-di-milano,Q17154436,45.460009,9.195317,0.6227038291084518,Q17154436,Collections of the Ospedale Maggiore
6,6,109486,GalleriaDArte,piazza-pio-xi,Q1085811,45.46378,9.185952,0.3289114870431423,Q1085811,Pinacoteca Ambrosiana
7,7,107078,Museo,cortile-del-palazzo-reale,Q51105,45.463054,9.191153,0.1563832199617414,Q51105,Royal Palace of Milan
8,8,120148,Monumento,piazza-belgioioso,Q109768623,45.467622222,9.192375,0.4136472422828676,Q109768623,Monument to Cristina Trivulzio di Belgiojoso (Milan)
9,9,110593,Teatro,piazza-cesare-beccaria,Q30880124,45.464135,9.194584,0.3488428112522572,Q30880124,Teatro Gerolamo
11,11,125115,Museo,via-monte-napoleone,Q55670990,45.469086,9.194215,0.6249724067067196,Q55670990,Mario Buccellati corporate Museum
12,12,104275,Scultura,piazza-santo-stefano,Q63826242,45.46208,9.19485,0.4415918546490882,Q63826242,Monument to Varalli and Zibecchi
13,13,102611,Teatro,via-larga,Q71543196,45.46136,9.1917,0.345054208722336,Q71543196,"Teatro ""La piccola Canobbiana"""
14,15,123910,Scultura,via-alessandro-manzoni,Q56604893,45.468664,9.191583,0.5032430827337675,Q56604893,Sala d'armi
15,16,110823,Scultura,piazza-cesare-beccaria,Q32107918,45.46421,9.19482,0.3670208607512075,Q32107918,Monument to Cesare Beccaria
16,17,117876,Teatro,piazza-san-babila,Q3982080,45.46649,9.1971104,0.5994372432904398,Q3982080,Teatro Nuovo
17,18,123389,Museo,la-feltrinelli,Q1190657,45.468484,9.191444,0.4813236370946957,Q1190657,Museo Poldi Pezzoli
18,19,114021,Teatro,via-silvio-pellico,Q3982109,45.4651,9.18933,0.1119277153147002,Q3982109,Teatro Re
19,20,107439,Monumento,cardinale-federico-borromeo,Q115868258,45.4631956,9.1852281,0.3989220932992994,Q115868258,Monument to Federico Borromeo
20,21,113977,Monumento,palazzo-dei-giureconsulti,Q125794496,45.465083333,9.188055555,0.1849873717509103,Q125794496,Monument to Saint Ambrose
21,23,115460,Scultura,corso-vittorio-emanuele-ii,Q1094212,45.4655637,9.1956591,0.4561758731677892,Q1094212,Scior Carera
22,24,119536,Museo,via-alessandro-manzoni,Q2054135,45.46735,9.19004,0.3439747140526925,Q2054135,Gallerie d'Italia - Milano
25,28,101859,Monumento,piazza-giuseppe-missori,Q21141701,45.4611,9.1881,0.384589609357251,Q21141701,Monument to Giuseppe Missori
26,29,119864,Teatro,via-filodrammatici,Q3982263,45.467503,9.188286,0.3880794990850943,Q3982263,Teatro Filodrammatici
27,30,122600,Scultura,via-romagnosi,Q56604939,45.4682381,9.1909921,0.4479396725743363,Q56604939,Disco in forma di rosa del deserto
28,31,107607,Museo,palazzo-reale,Q16337697,45.463246,9.191625,0.1628448401987803,Q16337697,Duomo di Milano Museum
29,33,116866,Teatro,via-tommaso-marino,Q62588146,45.46607,9.19069,0.2065352180005787,Q62588146,Teatro Manzoni
30,34,117761,Museo,statua-di-alessandro-manzoni,Q24940273,45.466441666,9.191130555,0.2555249965703095,Q24940273,San Fedele museum
32,36,118340,Teatro,via-rovello,Q56477172,45.466719,9.184713,0.5023680049924053,Q56477172,Piccolo Teatro Grassi
10,10,112602,FermataDellaMetropolitana,via-ugo-foscolo,Q2519375,45.464722222,9.190277777,0.053278179660776,Q2519375,Duomo
23,25,100111,FermataDellaMetropolitana,piazza-giuseppe-missori,Q1088817,45.460556,9.188333,0.4343483489914874,Q1088817,Missori
24,27,115437,FermataDellaMetropolitana,piazza-cordusio,Q1087020,45.465556,9.186389,0.324447836596229,Q1087020,Cordusio
31,35,118236,FermataDellaMetropolitana,piazza-san-babila,Q1087622,45.466667,9.1975,0.6352652640217057,Q1087622,San Babila
